HIP,Longitudine galactică,Latitudine galactică,Nume,Constelație,Tipul Spectral,Clasă de luminozitate,Index B-V (culoare),Magnitudine absolută(VMag),Luminozitate(Lum),Magnitudine aparentă (Vmag),Temperatură efectivă,Radius,Mass
52901,295.7330401,-15.10484315,,Chamaeleon,A,4,0.265,1.84,15.18,8.28,7716,3.255,1.82
47829,295.5840825,-20.42335846,,Chamaeleon,G,5,0.765,4.12,2.25,9.25,5560,1.061,0.98
49416,295.2946334,-18.74325909,,Chamaeleon,A,3,0.248,1.23,26.6,7.32,7840,3.901,1.87
51050,295.8531809,-17.78156096,,Chamaeleon,A,5,0.21,2.37,9.39,7.95,8287,1.769,2.04
50208,295.1981454,-17.83288229,,Chamaeleon,A,3,0.412,1.9,14.57,8.17,7107,3.422,1.58
50257,295.0982264,-17.63894993,,Chamaeleon,G,4,0.716,3.59,3.54,9.81,6128,1.777,1.16
50274,294.9819418,-17.46890082,,Chamaeleon,G,5,0.78,5.74,0.52,8.97,5264.9,0.82,0.9
48600,294.0866107,-18.18497505,,Chamaeleon,F,5,0.492,4.13,1.92,9.4,6509,1.193,1.34
46148,293.8218446,-20.06905326,,Chamaeleon,B,5,0.053,1.23,28.82,7.85,9914,2.017,2.54
46785,293.6646144,-19.44432053,,Chamaeleon,G,4,0.677,4.79,1.14,10.2,5853,1.28,1.06
47135,293.6744464,-19.15452736,,Chamaeleon,G,5,0.588,4.43,1.51,8.59,5960,1.061,1.09
46046,292.8431542,-19.32401321,,Chamaeleon,F,5,0.629,3.55,3.48,7.08,5891.8,1.703,1.07
45734,292.4974059,-19.31853995,,Chamaeleon,G,5,0.725,4.23,1.97,9.569,5239,1.041,0.89
45734,292.4974059,-19.31853995,,Chamaeleon,G,5,0.725,4.23,1.97,8,5730,1.399,1.02
45546,292.0470768,-19.12648528,,Chamaeleon,F,4,0.522,4.32,1.62,9.5,6586,1.537,1.37
47728,292.8217008,-17.74180511,,Chamaeleon,B,5,0.137,1.19,28.01,7.86,8707,2.97,2.18
48114,292.6127656,-17.10478784,,Chamaeleon,A,3,0.362,3.11,4.75,9.25,7337,1.847,1.66
46414,291.6577281,-17.94308918,,Chamaeleon,G,5,0.71,5.36,0.7,9.31,5516,0.922,0.97
47615,292.1652122,-17.17562021,,Chamaeleon,A,5,0.24,2.74,6.62,8.82,8270,1.552,2.03
51074,294.633025,-15.98121762,,Chamaeleon,G,5,0.748,5.04,0.95,8.58,5526.7,1.01,0.97
50236,294.481582,-16.85286777,,Chamaeleon,B,5,0.25,2.2,10.95,8.73,8489,2.972,2.11
49860,293.2962573,-15.75056177,,Carina,F,5,0.614,3.02,5.61,9.13,6092,2.637,1.14
52172,294.8991417,-14.86004034,,Carina,G,5,0.657,3.86,2.65,9.38,6024,1.68,1.12
52172,294.8991417,-14.86004034,,Carina,G,5,0.657,3.86,2.65,10.993,5733,0.917,1.02
52131,294.6248714,-14.46500156,,Carina,A,5,0.169,1.71,17.31,6.75,8503,2.039,2.12
50844,293.6443486,-14.90182601,,Carina,A,,0.416,2.57,7.92,9.34,6960,2.616,1.52
50954,293.1616261,-14.01846337,I Carinae (HR 4102),Carina,F,5,0.369,2.94,5.56,3.99,6940.9,1.571,1.52
48951,293.5104961,-17.15240376,,Chamaeleon,A,5,0.344,2.21,10.84,8.56,7625,2.434,1.78
49325,293.2965193,-16.43633015,,Chamaeleon,F,5,0.526,3.79,2.66,9.22,6540,1.272,1.35
49313,293.2856483,-16.44021722,,Chamaeleon,F,4,0.461,3.68,2.89,9.3,6825,1.368,1.47
48530,292.3297952,-16.30320833,,Carina,A,,0.029,0.01,93.62,8.08,10885,4.532,2.83
